,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
104,Deontay Burnett\deontay-burnett-1,USC,Pac-12,3,24,386,16.1,4,1,3,3.0,0,25,389,15.6,4
105,Bailey Gaither\bailey-gaither-1,San Jose State,MWC,4,18,290,16.1,4,0,0,,0,18,290,16.1,4
106,Korey Robertson\korey-robertson-1,Southern Mississippi,CUSA,3,13,209,16.1,4,0,0,,0,13,209,16.1,4
107,John Ursua\john-ursua-1,Hawaii,MWC,2,22,351,16.0,2,0,0,,0,22,351,16.0,2
108,Tabari Hines\tabari-hines-1,Wake Forest,ACC,3,11,176,16.0,0,1,-4,-4.0,0,12,172,14.3,0
109,Keith Mixon\keith-mixon-1,Mississippi State,SEC,3,7,112,16.0,1,0,0,,0,7,112,16.0,1
110,Sa'Mory Collier\samory-collier-1,South Alabama,Sun Belt,3,7,112,16.0,1,0,0,,0,7,112,16.0,1
111,Collin Lisa\collin-lisa-1,UAB,CUSA,3,6,96,16.0,0,0,0,,0,6,96,16.0,0
112,Jay MacIntyre\jay-macintyre-1,Colorado,Pac-12,3,6,96,16.0,1,0,0,,0,6,96,16.0,1
113,Steven Mitchell\steven-mitchell-1,USC,Pac-12,3,14,223,15.9,2,0,0,,0,14,223,15.9,2
114,Siaosi Wilson\siaosi-wilson-1,Utah,Pac-12,3,8,127,15.9,0,0,0,,0,8,127,15.9,0
115,Gary Jennings\gary-jennings-1,West Virginia,Big 12,3,23,363,15.8,1,0,0,,0,23,363,15.8,1
116,Cameron Odom\cameron-odom-1,Ohio,MAC,3,8,126,15.8,1,0,0,,0,8,126,15.8,1
117,Deon Cain\deon-cain-1,Clemson,ACC,3,8,126,15.8,1,0,0,,0,8,126,15.8,1
118,Shun Brown\shun-brown-1,Arizona,Pac-12,3,8,126,15.8,1,0,0,,0,8,126,15.8,1
119,Sam Harris\sam-harris-2,South Alabama,Sun Belt,3,6,95,15.8,0,0,0,,0,6,95,15.8,0
120,Darren Andrews\darren-andrews-1,UCLA,Pac-12,3,26,409,15.7,6,1,8,8.0,0,27,417,15.4,6
121,Darren Carrington\darren-carrington-1,Utah,Pac-12,3,26,409,15.7,4,0,0,,0,26,409,15.7,4
122,Troy Fumagalli\troy-fumagalli-2,Wisconsin,Big Ten,3,15,236,15.7,3,0,0,,0,15,236,15.7,3
123,C.J. Johnson\cj-johnson-4,Wyoming,MWC,3,10,157,15.7,1,1,-1,-1.0,0,11,156,14.2,1
124,Brycen Hopkins\brycen-hopkins-1,Purdue,Big Ten,3,9,141,15.7,2,0,0,,0,9,141,15.7,2
125,Lawrence Cager\lawrence-cager-1,Miami (FL),ACC,1,3,47,15.7,1,0,0,,0,3,47,15.7,1
126,Trey Quinn\trey-quinn-1,SMU,American,3,17,265,15.6,2,0,0,,0,17,265,15.6,2
127,Hakeem Butler\hakeem-butler-1,Iowa State,Big 12,3,15,234,15.6,3,0,0,,0,15,234,15.6,3
128,Josh Hammond\josh-hammond-1,Florida,SEC,2,6,93,15.5,0,0,0,,0,6,93,15.5,0
129,Cam Phillips\cam-phillips-1,Virginia Tech,ACC,3,27,417,15.4,5,0,0,,0,27,417,15.4,5
130,Adam Breneman\adam-breneman-1,Massachusetts,Ind,4,24,369,15.4,0,0,0,,0,24,369,15.4,0
131,D.K. Metcalf\dk-metcalf-1,Ole Miss,SEC,3,16,246,15.4,2,0,0,,0,16,246,15.4,2
132,Keith Kirkwood\keith-kirkwood-1,Temple,American,3,12,185,15.4,2,0,0,,0,12,185,15.4,2
133,Mason Hays\mason-hays-1,Texas State,Sun Belt,3,7,108,15.4,1,2,-1,-0.5,0,9,107,11.9,1
134,Andy Isabella\andy-isabella-1,Massachusetts,Ind,4,20,306,15.3,3,5,47,9.4,1,25,353,14.1,4
135,Mark Chapman\mark-chapman-2,Central Michigan,MAC,3,20,306,15.3,3,0,0,,0,20,306,15.3,3
136,Workpeh Kofa\workpeh-kofa-1,Charlotte,CUSA,2,9,138,15.3,1,0,0,,0,9,138,15.3,1
